,Title,Worldwide,Budget,MPAA,Domestic Distributor,Domestic Opening,Genres,Year
593,tt2059255,7699095.0,,R,Sony Pictures Classics,71742.0,Drama,3
594,tt1924429,24261569.0,20000000.0,R,Fox Searchlight Pictures,131145.0,"Crime,Drama,Mystery,Thriller",3
595,tt1869716,2891812.0,,PG-13,Fox Searchlight Pictures,77031.0,"Crime,Drama,Thriller",3
596,tt2150332,7816573.0,,R,The Samuel Goldwyn Company,65194.0,"Biography,Drama,History,Romance",3
597,tt2739338,2476775.0,,PG,EchoLight Studios,68655.0,"Drama,Family",3
598,tt1029231,4170204.0,,,Eros Worldwide,1049560.0,"Action,Adventure,Sci-Fi",3
599,tt1321511,5186767.0,30000000.0,R,FilmDistrict,885382.0,"Action,Drama,Mystery,Thriller",3
600,tt2015381,773350147.0,170000000.0,PG-13,Walt Disney Studios Motion Pictures,94320883.0,"Action,Adventure,Comedy,Sci-Fi",4
601,tt1951265,755356711.0,125000000.0,PG-13,Lionsgate,121897634.0,"Action,Adventure,Sci-Fi,Thriller",4
602,tt1843866,714421503.0,170000000.0,PG-13,Walt Disney Studios Motion Pictures,95023721.0,"Action,Adventure,Sci-Fi,Thriller",4
603,tt1490017,468060692.0,60000000.0,PG,Warner Bros.,69050279.0,"Action,Adventure,Animation,Comedy,Family,Fantasy,Sci-Fi",4
604,tt2109248,1104054072.0,210000000.0,PG-13,Paramount Pictures,100038390.0,"Action,Adventure,Sci-Fi",4
605,tt1587310,758411779.0,180000000.0,PG,Walt Disney Studios Motion Pictures,69431298.0,"Adventure,Family,Fantasy,Romance",4
606,tt1877832,746045700.0,200000000.0,PG-13,Twentieth Century Fox,90823660.0,"Action,Adventure,Sci-Fi,Thriller",4
607,tt2103281,710644566.0,170000000.0,PG-13,Twentieth Century Fox,72611427.0,"Action,Adventure,Drama,Sci-Fi,Thriller",4
608,tt2245084,657869686.0,165000000.0,PG,Walt Disney Studios Motion Pictures,56215889.0,"Action,Adventure,Animation,Comedy,Family,Sci-Fi",4
609,tt1872181,708982323.0,,PG-13,Sony Pictures Entertainment (SPE),91608337.0,"Action,Adventure,Sci-Fi",4
610,tt0831387,524976069.0,160000000.0,PG-13,Warner Bros.,93188384.0,"Action,Adventure,Sci-Fi,Thriller",4
611,tt2294449,331333876.0,50000000.0,R,Sony Pictures Entertainment (SPE),57071445.0,"Action,Comedy,Crime",4
612,tt1291150,485004754.0,125000000.0,PG-13,Paramount Pictures,65575105.0,"Action,Adventure,Comedy,Sci-Fi",4
613,tt2310332,962182865.0,,PG-13,Warner Bros.,54724334.0,"Adventure,Fantasy",4
614,tt0816692,701729206.0,165000000.0,PG-13,Paramount Pictures,47510360.0,"Adventure,Drama,Sci-Fi",4
615,tt1646971,621537519.0,145000000.0,PG,Twentieth Century Fox,49451322.0,"Action,Adventure,Animation,Comedy,Family,Fantasy",4
616,tt2267998,369330363.0,61000000.0,R,Twentieth Century Fox,37513109.0,"Drama,Mystery,Thriller",4
617,tt1840309,288885818.0,85000000.0,PG-13,Lionsgate,54607747.0,"Action,Adventure,Mystery,Sci-Fi",4
618,tt2004420,270665134.0,18000000.0,R,Universal Pictures,49033915.0,Comedy,4
