Title,Worldwide,Budget,MPAA,Domestic Distributor,Domestic Opening,Genres
tt1674771,49263404.0,30000000.0,R,Warner Bros.,10283250.0,"Comedy,Drama"
tt3622592,85512300.0,12000000.0,PG-13,Twentieth Century Fox,12650140.0,"Adventure,Comedy,Drama,Mystery,Romance"
tt1823672,102811889.0,49000000.0,R,Sony Pictures Entertainment (SPE),13346782.0,"Action,Crime,Drama,Sci-Fi,Thriller"
tt2554274,74679822.0,55000000.0,R,Universal Pictures,13143310.0,"Drama,Horror,Mystery,Romance,Thriller"
tt1178665,37461274.0,,R,Broad Green Pictures,8246267.0,"Adventure,Biography,Comedy,Drama"
tt1823664,136853506.0,65000000.0,PG,Sony Pictures Entertainment (SPE),15861939.0,"Comedy,Drama,Family,Musical"
tt2446980,101134059.0,60000000.0,PG-13,Twentieth Century Fox,17015168.0,"Biography,Drama"
tt2752772,53329150.0,10000000.0,R,Focus Features,10542116.0,"Horror,Mystery,Thriller"
tt1618442,146936910.0,90000000.0,PG-13,Lionsgate,10812861.0,"Action,Adventure,Fantasy"
tt1781922,54418872.0,,R,The Weinstein Company,8111264.0,"Action,Thriller"
tt3623726,41325328.0,18000000.0,PG-13,TriStar Pictures,6610961.0,"Comedy,Drama,Music"
tt2339741,48854305.0,,PG-13,Relativity Media,15027415.0,"Drama,Horror,Thriller"
tt2199571,71561644.0,50000000.0,R,Warner Bros.,11012305.0,"Action,Crime,Thriller"
tt2279339,42426912.0,17000000.0,PG-13,Lionsgate,8317545.0,"Comedy,Fantasy,Romance"
tt1895587,98690254.0,,R,Open Road Films (II),295009.0,"Biography,Crime,Drama"
tt2918436,38356892.0,3300000.0,PG-13,Relativity Media,10203437.0,"Horror,Mystery,Sci-Fi,Thriller"
tt0470752,36869414.0,15000000.0,R,A24,237264.0,"Drama,Sci-Fi,Thriller"
tt1596363,133440870.0,28000000.0,R,Paramount Pictures,705527.0,"Biography,Comedy,Drama,History"
tt1951265,755356711.0,125000000.0,PG-13,Lionsgate,121897634.0,"Action,Adventure,Sci-Fi,Thriller"
tt1390411,93920758.0,100000000.0,PG-13,Warner Bros.,11053366.0,"Action,Adventure,Biography,Drama,History"
tt2309260,42964410.0,100000.0,R,Warner Bros.,9808463.0,"Horror,Mystery,Thriller"
tt2679042,82347656.0,35000000.0,R,Twentieth Century Fox,8326530.0,"Action,Crime,Thriller"
tt2436386,33213241.0,12000000.0,PG-13,Paramount Pictures,8310252.0,"Drama,Mystery,Sci-Fi,Thriller"
tt2883434,21833967.0,9000000.0,PG-13,Relativity Media,6213362.0,Drama
tt1243974,26250020.0,37000000.0,PG-13,Sony Pictures Entertainment (SPE),9670235.0,"Comedy,Drama,Romance"
tt1741273,34854990.0,19500000.0,PG-13,STX Entertainment,6652996.0,"Crime,Drama,Mystery,Thriller"
tt2381111,62402155.0,,PG-13,Fox Searchlight Pictures,187281.0,"Drama,Romance"
tt2872750,106209378.0,,PG,Lionsgate,4038962.0,"Adventure,Animation,Comedy,Family,Fantasy"
tt3316960,44779195.0,5000000.0,PG-13,Sony Pictures Classics,197000.0,Drama
tt2473510,78903124.0,10000000.0,R,Paramount Pictures,8070493.0,"Horror,Mystery"
tt2305051,52501541.0,,R,Fox Searchlight Pictures,606810.0,"Adventure,Biography,Drama"
tt2562232,103215094.0,18000000.0,R,Fox Searchlight Pictures,424397.0,"Comedy,Drama"
tt2245084,657869686.0,165000000.0,PG,Walt Disney Studios Motion Pictures,56215889.0,"Action,Adventure,Animation,Comedy,Family,Sci-Fi"
tt2080374,34441873.0,30000000.0,R,Universal Pictures,521522.0,"Biography,Drama"
tt3168230,29355203.0,,PG,Roadside Attractions,2434908.0,"Drama,Mystery"
tt3850214,17986781.0,7000000.0,R,Open Road Films (II),6100010.0,"Adventure,Comedy,Crime,Drama"
tt3322364,48623572.0,35000000.0,PG-13,Sony Pictures Entertainment (SPE),10513749.0,"Biography,Drama,Sport"
tt1121096,114178613.0,95000000.0,PG-13,Universal Pictures,7217640.0,"Action,Adventure,Fantasy"
tt3660770,16839663.0,,,Walt Disney Studios Motion Pictures,4577861.0,Documentary
tt2938956,72629670.0,,PG-13,EuropaCorp,7355622.0,"Action,Thriller"
tt2058673,133718711.0,105000000.0,PG-13,Warner Bros.,9800252.0,"Action,Adventure,Crime,Sport,Thriller"
tt2039393,39280992.0,25000000.0,R,Paramount Pictures,9129999.0,"Crime,Drama,Thriller"
tt3235888,21947454.0,,R,RADiUS-TWC,160089.0,"Horror,Mystery,Thriller"
tt3316948,27262374.0,28000000.0,R,Lionsgate,5454284.0,"Action,Comedy"
tt4183692,14401617.0,,PG,Pure Flix Entertainment,4002226.0,"Biography,Drama,History,Sport"
tt2503944,36606743.0,20000000.0,R,The Weinstein Company,5002521.0,"Comedy,Drama"
tt3460252,156480177.0,44000000.0,R,The Weinstein Company,4610676.0,"Crime,Drama,Mystery,Thriller,Western"
tt4056738,14410698.0,,PG-13,Pure Flix Entertainment,3591282.0,Drama
tt2980516,123726688.0,15000000.0,PG-13,Focus Features,208763.0,"Biography,Drama,Romance"
tt0903657,28641776.0,,PG-13,Roadside Attractions,2122177.0,"Biography,Drama,Music"
tt4191054,13603453.0,,PG,Walt Disney Studios Motion Pictures,5504441.0,"Adventure,Animation,Comedy,Family,Fantasy,Musical,Romance"
tt2637294,13081651.0,14000000.0,R,Paramount Pictures,5963324.0,"Comedy,Mystery,Sci-Fi"
tt2140379,31807156.0,26000000.0,PG-13,Focus Features,5403460.0,"Action,Mystery,Sci-Fi,Thriller"
tt2935476,30229977.0,,PG-13,Fox Searchlight Pictures,164985.0,"Drama,Romance"
tt2006295,27972023.0,,PG-13,Warner Bros.,5787266.0,"Biography,Drama,History"
tt2515034,24177137.0,40000000.0,R,Open Road Films (II),5028702.0,"Action,Adventure,Crime,Thriller"
